Type,word,Duration,ToHNeither,ToHObject,ToHSubject,ToHWeak,ToHStrict
SO,enjoyed,4.319148936,0.35,0.2,0.45,0.692307692,0.45
SO,fancied,4.829787234,0.35,0.3,0.35,0.538461538,0.35
SO,liked,6,0.4,0.3,0.3,0.5,0.3
SO,savored,3.872340426,0.4,0.1,0.5,0.833333333,0.5
SO,supported,5.191489362,0.15,0.1,0.75,0.882352941,0.75
SO,tolerated,4.638297872,0.45,0.1,0.45,0.818181818,0.45
SO,treasured,6.29787234,0.4,0.25,0.35,0.583333333,0.35
SO,trusted,6.510638298,0.4,0.2,0.4,0.666666667,0.4
SO,valued,6.063829787,0.35,0.3,0.35,0.538461538,0.35
SO,venerated,3.914893617,0.35,0.2,0.45,0.692307692,0.45
SO,worshiped,5.85106383,0.4,0.25,0.35,0.583333333,0.35
SS,annoyed,3.127659574,0.25,0.05,0.7,0.933333333,0.7
SS,bored,3.021276596,0.35,0.2,0.45,0.692307692,0.45
SS,bothered,2.808510638,0.2,0.1,0.7,0.875,0.7
SS,chilled,2.382978723,0.15,0.1,0.75,0.882352941,0.75
SS,concerned,3.744680851,0.35,0.05,0.6,0.923076923,0.6
SS,convinced,3.255319149,0.1,0.1,0.8,0.888888889,0.8
SS,crushed,3.808510638,0.1,0.1,0.8,0.888888889,0.8
SS,demolished,3.085106383,0.1,0.05,0.85,0.944444444,0.85
SS,devastated,4.361702128,0.05,0.1,0.85,0.894736842,0.85
SS,disarmed,2.468085106,0.2,0.1,0.7,0.875,0.7
SS,discomfited,2.723404255,0.2,0.05,0.75,0.9375,0.75
SS,discouraged,3.106382979,0.15,0.15,0.7,0.823529412,0.7
SS,dumbfounded,2.29787234,0.4,0.1,0.5,0.833333333,0.5
SS,encouraged,3.617021277,0.1,0.05,0.85,0.944444444,0.85
SS,engaged,2.893617021,0.35,0.05,0.6,0.923076923,0.6
SS,enticed,2.446808511,0.1,0.1,0.8,0.888888889,0.8
SS,flattered,2.553191489,0.05,0.1,0.85,0.894736842,0.85
SS,frightened,2.425531915,0.25,0.05,0.7,0.933333333,0.7
SS,gladdened,2.914893617,0.3,0.05,0.65,0.928571429,0.65
SS,harassed,3.914893617,0,0.05,0.95,0.95,0.95
SS,hurt,4.489361702,0,0.05,0.95,0.95,0.95
SS,insulted,2.361702128,0,0.1,0.9,0.9,0.9
